RespondentID;age;gender;country;federalState;psychosocialWorker;News_Sensitivity;Lang_Sensitivity;NewsWorry;NewsBoundaries;LangHighSensitivity;LangLowSensitivity;softDeathInjNums;verySoftDeathInjNums;newsConsumptionFrequency;newsConsumptionFrequency_numbered
67e2c0045c3068112fc03fac;27;male;at;OÖ;false;-2;2;0;2;1;-1;1;2;lessThanOnceWeekly;1
67e32338ff1fb9a2cda46d9d;33;female;at;OÖ;true;1;1;1;0;0;-1;1;1;never;0
67e3cb8a6696ed6564ab11b7;25;female;at;NÖ;false;-1;-1;-1;0;-1;0;2;3;oneToThreeTimesWeekly;2
67e453a0deffb5b8280b9e97;26;female;at;OÖ;false;2;3;1;-1;1;-2;2;1;daily;4
67e47235ec88eb48fbbe17c8;25;female;at;OÖ;false;-3;3;-1;2;1;-2;3;3;severalTimesDaily;5
67e537e26730f49a0e764766;34;female;at;Vbg;true;-3;1;-2;1;0;-1;2;1;oneToThreeTimesWeekly;2
67e537ef6730f49a0e764767;21;female;at;OÖ;false;3;3;2;-1;2;-1;1;0;fourToSixTimesWeekly;3
67e5421d871c5868d0449830;56;male;at;OÖ;true;3;1;1;-2;-1;-2;2;2;severalTimesDaily;5
67e5753b6d1f585511c52058;23;male;de;BW;false;-2;1;-1;1;1;0;1;1;daily;4
67e5b6d9949e8e08ea2385d4;56;female;at;NÖ;true;-1;-1;0;1;-1;0;0;0;severalTimesDaily;5
67e6cfdbd05e93deff3c250b;24;female;at;OÖ;false;0;1;-1;-1;0;-1;3;3;fourToSixTimesWeekly;3
67e6d666aea412b8961b9178;25;female;at;OÖ;true;-2;-1;-1;1;-1;0;2;2;oneToThreeTimesWeekly;2
67e6f43682b04532296b85a7;41;female;at;OÖ;true;0;4;0;0;2;-2;3;3;oneToThreeTimesWeekly;2
67e858ac63bf22618a9d13c2;48;female;at;W;true;0;0;0;0;-1;-1;2;2;severalTimesDaily;5
67e923d11acc6afb9c9fc2f5;56;male;at;OÖ;false;-2;-1;-1;1;0;1;1;1;severalTimesDaily;5
67e923d11acc6afb9c9fc2f5;56;male;at;OÖ;false;-2;-1;-1;1;0;1;1;1;severalTimesDaily;5
67eabf60087556d6e76c0c58;56;male;at;OÖ;false;-1;4;0;1;2;-2;0;0;severalTimesDaily;5
67eae8825bce0d0bf8c127b4;26;female;de;BW;false;-2;-1;-1;1;0;1;2;3;daily;4
67ec346dc28d4af1b0b04edf;26;female;at;OÖ;false;-4;-4;-2;2;-2;2;0;0;never;0
67eed206c1cd5d3e138ccdb0;25;male;at;OÖ;false;-1;0;0;1;-1;-1;1;3;lessThanOnceWeekly;1
67eef3e4340c1df24a635872;24;female;at;OÖ;false;-4;-4;-2;2;-2;2;0;1;severalTimesDaily;5
67efdc30781f59de90d07ff4;56;female;at;OÖ;false;0;-2;0;0;-1;1;2;2;fourToSixTimesWeekly;3
67efdc32543d62caa7bf41b1;56;female;at;OÖ;false;0;-2;0;0;-1;1;2;2;fourToSixTimesWeekly;3
67f2655a31a538603f74cb5e;34;female;at;OÖ;false;-4;-4;-2;2;-2;2;1;1;lessThanOnceWeekly;1
67f2d6bed35dd02c1e31159c;65;female;at;NÖ;false;-3;-2;-1;2;-2;0;0;0;severalTimesDaily;5
67f3778d46994677bac9905f;23;female;at;OÖ;false;-1;1;0;1;1;0;2;0;daily;4
67f39a975d71fccdc2d38ad6;25;female;at;W;false;-2;1;-1;1;0;-1;0;1;fourToSixTimesWeekly;3
67f7fe8d7dedf2ce76fed84d;23;female;at;OÖ;false;-3;1;-2;1;1;0;0;0;oneToThreeTimesWeekly;2
67f806a874e7f457806a70b1;27;female;at;OÖ;false;4;4;2;-2;2;-2;1;3;oneToThreeTimesWeekly;2
67f80d6f875886a74dbd8770;21;male;at;OÖ;false;2;3;1;-1;1;-2;1;2;severalTimesDaily;5
67f832d816cbd5590695fbcc;26;male;at;OÖ;false;1;-1;2;1;0;1;1;0;severalTimesDaily;5
67d9b876dffa95bfc42f851a;27;male;at;OÖ;false;3;2;2;-1;1;-1;1;2;oneToThreeTimesWeekly;2
67f8f1f7b563c05008816bbe;22;female;at;OÖ;false;2;-2;1;-1;-1;1;1;2;daily;4
67f903fd5b8650bbe15c4d19;23;diverse;at;OÖ;false;2;0;2;0;-1;-1;1;3;oneToThreeTimesWeekly;2
67f9216ff3985d9b8f3ae84c;24;female;at;OÖ;false;0;3;0;0;2;-1;2;0;oneToThreeTimesWeekly;2
67f93ed19d19fac15e365741;58;male;at;NÖ;false;-4;0;-2;2;1;1;0;0;severalTimesDaily;5
67f93f179d19fac15e365742;58;male;at;NÖ;false;-4;0;-2;2;1;1;0;0;severalTimesDaily;5
67f9ba40a249c93025aea876;52;female;at;OÖ;true;-1;3;0;1;1;-2;0;0;daily;4
67fa666cfead680a50a485bd;29;female;at;S;false;2;3;1;-1;1;-2;2;1;lessThanOnceWeekly;1
67fbb3dabe8947d9cfb61cf4;22;female;at;OÖ;false;2;4;1;-1;2;-2;0;1;daily;4
67fc3087b8db4c59bc71f460;27;female;de;NRW;false;0;-2;0;0;-1;1;2;1;lessThanOnceWeekly;1
67fe961fafdb654e4b5cd9db;44;female;at;OÖ;false;-2;3;-1;1;2;-1;0;0;severalTimesDaily;5
680156de8aad397aa0c6f03d;26;male;at;W;false;-2;3;-1;1;1;-2;0;2;oneToThreeTimesWeekly;2
680f3cf7c026b4b5a69fbd23;28;male;at;OÖ;false;-1;4;0;1;2;-2;1;2;oneToThreeTimesWeekly;2
